row_type,measurement_index,target_x_mm,target_y_mm,target_force_N,actual_x_mm,actual_y_mm,position_time_s,actual_force_N,force_time_s,eit_0,eit_1,eit_2,eit_3,eit_4,eit_5,eit_6,eit_7,eit_8,eit_9,eit_10,eit_11,eit_12,eit_13,eit_14,eit_15,eit_time_s
contact,15.0,107.717949,18.054131,4.0,107.72,18.05,237.3584551009999,4.6178,248.89744861600047,0.13683846153846155,0.13925384615384614,0.1332076923076923,0.13471538461538463,0.30200769230769225,0.29207692307692307,0.2782615384615385,0.27707692307692305,0.13701538461538462,0.14732307692307692,0.23343846153846154,0.24192307692307696,0.19127692307692307,0.19159230769230767,0.18795384615384617,0.18107692307692308,249.956361216
baseline,16.0,71.615385,15.598291,1.0,71.62,15.6,254.234013751,0.0,,0.13747692307692305,0.14018461538461538,0.1341846153846154,0.13507692307692307,0.30289230769230774,0.2931153846153846,0.36133076923076923,0.3591,0.13704615384615385,0.1473846153846154,0.23317692307692311,0.2417307692307692,0.1935923076923077,0.19353846153846155,0.18593846153846152,0.18016153846153843,254.284112245
contact,16.0,71.615385,15.598291,1.0,71.62,15.6,254.234013751,1.1936,261.9281450529997,0.13707692307692307,0.13965384615384613,0.13326923076923075,0.13386923076923074,0.30827692307692306,0.29823846153846156,0.3393384615384615,0.3366692307692307,0.13473846153846156,0.1422846153846154,0.22959999999999997,0.2394846153846154,0.19033076923076922,0.19121538461538462,0.18403846153846154,0.17926153846153847,262.9392181630001
baseline,17.0,53.564103,22.977208,3.0,53.56,22.98,265.8537625730005,0.0,,0.13569230769230767,0.13794615384615388,0.13255384615384616,0.13357692307692307,0.30516153846153843,0.29603846153846153,0.27244615384615384,0.2716076923076923,0.1398230769230769,0.14966153846153846,0.23421538461538458,0.24090769230769235,0.3785230769230769,0.38039230769230764,0.18632307692307692,0.18030000000000002,265.9675592829999
contact,17.0,53.564103,22.977208,3.0,53.56,22.98,265.8537625730005,3.318,276.00029648000054,0.13586923076923074,0.13833846153846155,0.1345461538461539,0.13465384615384618,0.23803076923076924,0.22797692307692313,0.25928461538461534,0.257923076923077,0.13670000000000002,0.1472153846153846,0.23541538461538458,0.2410153846153846,0.3083,0.31085384615384615,0.18349999999999997,0.17809999999999998,277.00312085099995
baseline,18.0,88.025641,17.712251,2.0,88.03,17.71,281.16017875000034,0.0,,0.13745384615384612,0.13996923076923076,0.1335153846153846,0.13546153846153844,0.2308846153846154,0.2208076923076923,0.2539230769230769,0.2513307692307692,0.13525384615384614,0.14368461538461538,0.23233846153846155,0.24296153846153848,0.3043307692307692,0.3047615384615385,0.18238461538461534,0.17700769230769234,281.3296490040002
contact,18.0,88.025641,17.712251,2.0,88.03,17.71,281.16017875000034,2.1539,290.5607501840004,0.13672307692307695,0.1392,0.13271538461538462,0.13415384615384615,0.21583846153846156,0.20554615384615385,0.2557615384615385,0.25368461538461545,0.1362615384615385,0.14292307692307693,0.23870769230769232,0.24715384615384617,0.2882923076923077,0.2898153846153846,0.18582307692307692,0.1797692307692308,291.7157191240003
baseline,19.0,58.487179,21.039886,2.0,58.49,21.04,295.4699135410001,0.0,,0.13653846153846158,0.1392,0.13303076923076923,0.13474615384615388,0.21606153846153847,0.2070769230769231,0.25693076923076924,0.2552076923076923,0.13916923076923077,0.1487461538461539,0.23956923076923076,0.24533076923076924,0.2871538461538462,0.28965384615384615,0.18353076923076922,0.1778076923076923,295.6102799649998
contact,19.0,58.487179,21.039886,2.0,58.49,21.04,295.4699135410001,2.1642,304.59162678600023,0.1263769230769231,0.12873846153846155,0.1336230769230769,0.1352,0.2175384615384615,0.20793076923076922,0.2561307692307692,0.2542,0.13640000000000002,0.14728461538461537,0.23880769230769233,0.24454615384615389,0.28686923076923077,0.2891153846153846,0.18238461538461534,0.1766923076923077,305.78117704600027
baseline,20.0,65.051282,22.937322,3.0,65.05,22.94,307.78450753500056,0.0,,0.13846923076923076,0.1409923076923077,0.13303076923076923,0.13495384615384617,0.2176,0.20852307692307692,0.2568076923076923,0.2552153846153847,0.13753846153846155,0.1474,0.2396076923076923,0.24595384615384616,0.2896230769230769,0.2913307692307692,0.1828,0.1776230769230769,307.9444498089997
contact,20.0,65.051282,22.937322,3.0,65.05,22.94,307.78450753500056,3.6214,318.1266406699997,0.13759999999999997,0.14016153846153848,0.13284615384615386,0.13340769230769228,0.2137923076923077,0.20174615384615385,0.25746923076923073,0.2558,0.13680769230769232,0.14565384615384613,0.23819999999999997,0.24625384615384613,0.2784769230769231,0.28090000000000004,0.18046923076923077,0.1757923076923077,319.1953461459998
baseline,21.0,99.512821,29.358974,4.0,99.51,29.36,323.3476150160004,0.0,,0.1328,0.13237692307692311,0.12621538461538465,0.12683846153846157,0.21869230769230769,0.21286153846153846,0.3479307692307692,0.31264615384615385,0.13423076923076924,0.14009230769230768,0.23552307692307692,0.24608461538461543,0.1641153846153846,0.16656923076923077,0.1809769230769231,0.1734076923076923,323.5227924380006
